cat|value|label|strahler|area
882|860||1|158032.215529
883|850||1|113103.017037
884|866||1|161776.315404
885|854||1|118095.150203
886|857||1|131667.512248
887|861||1|180496.814775
888|856||1|192041.122721
889|853||1|123711.300015
890|874||1|207017.522219
891|862||1|207485.534703
893|858||1|166612.444408
894|865||1|109514.921324
895|868||1|148359.957521
896|864||1|236658.312891
897|863||1|144771.861808
898|871||1|258966.907976
899|869||1|222929.946685
900|867||1|111386.971262
901|875||1|279403.453123
902|870||1|194225.180982
903|873||1|144927.865969
904|882||1|192041.122722
905|877||1|164740.394471
906|881||1|119343.183495
907|872||1|123711.300015
908|878||1|167080.456892
909|879||1|133071.549701
910|876||1|154600.123978
911|885||1|167704.473538
913|880||1|152104.057395
914|884||1|152572.069879
915|883||1|151948.053234
916|895||1|216221.767743
917|889||1|154756.128139
918|887||1|135567.616283
919|893||1|187673.006202
920|888||1|170200.540121
921|891||1|208109.551349
922|890||1|150856.024104
923|886||1|147423.932552
924|892||1|155380.144785
925|903||1|193289.156013
926|894||1|117627.137719
927|896||1|226050.029914
928|901||1|191417.106076
929|898||1|190169.072785
930|897||1|178780.769
931|907||1|153820.103171
932|902||1|215285.742774
933|900||1|228234.088173
934|899||1|205925.493089
935|904||1|163024.348695
936|923||1|177844.744031
937|911||1|199529.32247
938|910||1|149295.982489
939|906||1|153508.094848
940|928||1|224333.984138
941|905||1|104366.783997
942|909||1|212945.680353
943|912||1|135567.616284
944|908||1|127299.395727
945|916||1|125739.354113
946|914||1|158500.228014
947|918||1|149295.982489
948|913||1|138687.699512
949|915||1|167236.461054
950|917||1|120123.204302
951|920||1|127611.404051
952|931||1|149763.994974
953|919||1|108266.888033
954|929||1|224333.984137
955|930||1|200933.359923
956|925||1|182992.881358
957|924||1|173944.639995
958|921||1|105146.804804
959|926||1|138219.687028
960|933||1|310760.28957
961|936||1|186424.97291
962|935||1|228858.104818
963|922||1|112166.992069
964|927||1|114663.058652
965|932||1|174724.660803
966|946||1|302024.05653
967|938||1|111230.9671
968|941||1|131199.499763
969|940||1|159436.252982
970|937||1|121371.237593
971|934||1|315908.426897
973|939||1|166456.440247
974|947||1|184864.931296
975|943||1|136815.649575
976|945||1|288607.698647
977|942||1|119655.191817
978|951||1|173164.619189
979|944||1|135879.624607
980|950||1|225270.009106
981|954||1|306860.185535
982|955||1|147735.940875
983|948||1|237126.325375
984|958||1|178156.752354
985|952||1|139935.732803
986|953||1|147267.928391
987|949||1|281431.507222
989|956||1|143991.841001
990|957||1|257406.866361
991|959||1|123399.291692
992|960||1|220745.888425
993|963||1|89702.392823
994|962||1|119655.191818
995|965||1|123867.304176
996|975||1|152572.06988
997|979||1|211697.647062
998|964||1|148983.974166
999|966||1|219497.855133
1000|977||1|155068.136462
1001|971||1|212165.659546
1002|961||1|111074.962939
1003|973||1|358497.562968
1004|974||1|120903.225109
1005|972||1|256158.833069
1006|981||1|240714.421088
1007|984||1|346173.234216
1008|967||1|430415.481388
1009|983||1|153664.099009
1010|980||1|265987.09524
1011|968||1|196721.247565
1012|978||1|213725.70116
1013|969||1|226362.038236
1014|970||1|178312.756515
1015|988||1|167548.469377
1016|991||1|147735.940875
1017|987||1|189077.043654
1018|985||1|271915.253374
1019|982||1|124491.320822
1020|976||1|889535.728479
1021|1000||1|171916.585897
1022|986||1|97346.596733
1023|994||1|304520.123113
1024|997||1|190793.08943
1025|990||1|179560.789807
1026|992||1|278935.440639
1027|1002||1|105146.804804
1028|996||1|540866.42768
1029|993||1|176440.706578
1030|999||1|187673.006202
1031|989||1|111074.962939
1032|1007||1|210449.61377
